code,title,credits,department,instructorId,semester,classroomNo
BIO100,Modern Statistics,4,Biology,1026,WINTER,LR976
PHY101,Modern Algorithms,5,Physics,1097,WINTER,CR580
PSY102,Machine Learning with Thermodynamics,2,Psychology,1172,SUMMER,LR553
CS103,Data Structures in Networks,4,Computer Science,1273,SUMMER,CR940
ECE104,Fundamentals of IoT,2,Electronics,1180,SPRING,LR202
BIO105,Modern Cloud Computing,4,Biology,1089,SUMMER,CR784
BIO106,Concepts of Linear Algebra,2,Biology,1146,SUMMER,ACH356
ME107,Analytics using Microeconomics,3,Mechanical Engineering,1021,FALL,CR488
ENG108,Machine Learning with Artificial Intelligence,5,English,1010,FALL,CR823
CS109,Fundamentals of Microeconomics,4,Computer Science,1032,SUMMER,CR853
HIST110,Programming in Artificial Intelligence,3,History,1091,SUMMER,LR404
DS111,Programming in Microeconomics,3,Data Science,1131,WINTER,CR150
CS112,Advanced Cloud Computing,2,Computer Science,1239,SUMMER,CR014
MATH113,Machine Learning with Operating Systems,3,Mathematics,1109,SUMMER,ACH798
PHY114,Principles of Data Mining,3,Physics,1120,SUMMER,CR734
PSY115,Advanced Psychology,5,Psychology,1045,FALL,CR806
ECON116,Analytics using Linear Algebra,3,Economics,1077,WINTER,ACH478
ECON117,Data Structures in Thermodynamics,4,Economics,1042,FALL,CR790
ME118,Machine Learning with Linear Algebra,4,Mechanical Engineering,1242,WINTER,CR722
PHY119,Modern Ethics,5,Physics,1230,SUMMER,LR362
CE120,Theory of Psychology,5,Civil Engineering,1182,SUMMER,ACH740
CE121,Introduction to Ethics,5,Civil Engineering,1007,SPRING,LR303
SOC122,Data Structures in Software Engineering,3,Sociology,1009,SUMMER,CR911
POLI123,Concepts of Digital Forensics,4,Political Science,1258,WINTER,CR672
SOC124,Concepts of Software Engineering,5,Sociology,1082,SPRING,ACH399
ENG125,Principles of Cloud Computing,3,English,1115,SUMMER,CR755
HIST126,Introduction to Algorithms,4,History,1059,WINTER,ACH273
DS127,Concepts of Ethics,4,Data Science,1086,WINTER,CR329
CE128,Applied Data Mining,2,Civil Engineering,1015,WINTER,CR905
MATH129,Advanced Ethics,3,Mathematics,1021,SUMMER,CR838
ECE130,Applied Macroeconomics,5,Electronics,1269,FALL,LR693
MATH131,Machine Learning with Ethics,5,Mathematics,1123,SUMMER,LR787
PHIL132,Theory of Artificial Intelligence,4,Philosophy,1053,SPRING,LR258
BIO133,Applied IoT,5,Biology,1243,SUMMER,CR641
POLI134,Fundamentals of IoT,3,Political Science,1247,SPRING,CR098
CHEM135,Advanced Ethics,5,Chemistry,1153,SPRING,CR862
PSY136,Fundamentals of Psychology,3,Psychology,1200,WINTER,CR498
POLI137,Analytics using Organic Chemistry,5,Political Science,1212,FALL,CR903
ECE138,Analytics using Database Systems,2,Electronics,1075,FALL,CR244
BIO139,Applied Linear Algebra,5,Biology,1251,FALL,LR958
CS140,Principles of Cloud Computing,2,Computer Science,1065,SPRING,CR722
PHY141,Analytics using Psychology,5,Physics,1179,FALL,ACH695
ECE142,Principles of Statistics,4,Electronics,1005,SUMMER,LR338
BIO143,Fundamentals of Cloud Computing,3,Biology,1216,SPRING,CR883
ME144,Data Structures in Linear Algebra,3,Mechanical Engineering,1108,SUMMER,ACH408
MATH145,Analytics using Statistics,3,Mathematics,1123,FALL,ACH451
ECE146,Theory of IoT,2,Electronics,1005,SUMMER,CR084
PHY147,Applied Database Systems,5,Physics,1007,SPRING,CR564
POLI148,Advanced Microeconomics,2,Political Science,1083,SUMMER,LR751
CE149,Theory of Networks,2,Civil Engineering,1186,SPRING,CR691
POLI150,Introduction to Data Mining,2,Political Science,1147,SPRING,CR510
HIST151,Programming in Algorithms,5,History,1056,FALL,CR390
CE152,Theory of Microeconomics,5,Civil Engineering,1022,FALL,CR529
CYB153,Machine Learning with Microeconomics,4,Cyber Security,1095,SUMMER,CR474
CYB154,Machine Learning with Ethics,5,Cyber Security,1297,SPRING,ACH321
CYB155,Modern Networks,2,Cyber Security,1226,WINTER,LR108
DS156,Analytics using Operating Systems,2,Data Science,1260,SPRING,CR745
PSY157,Applied Thermodynamics,4,Psychology,1036,WINTER,CR109
CE158,Programming in Psychology,3,Civil Engineering,1246,SPRING,ACH944
ENG159,Introduction to Macroeconomics,2,English,1210,FALL,CR211
ME160,Fundamentals of IoT,5,Mechanical Engineering,1047,WINTER,CR205
PHY161,Modern Psychology,5,Physics,1149,SPRING,ACH724
DS162,Applied IoT,3,Data Science,1000,SUMMER,CR416
PSY163,Data Structures in Cyber Security,2,Psychology,1046,SUMMER,CR997
CE164,Advanced Organic Chemistry,5,Civil Engineering,1256,SUMMER,CR305
ME165,Advanced Cloud Computing,3,Mechanical Engineering,1095,SUMMER,CR985
HIST166,Principles of Database Systems,2,History,1265,WINTER,CR197
CS167,Principles of Microeconomics,5,Computer Science,1108,FALL,ACH317
PHIL168,Analytics using Quantum Physics,5,Philosophy,1026,SPRING,ACH863
BIO169,Programming in Cloud Computing,2,Biology,1176,FALL,CR442
PHIL170,Data Structures in IoT,2,Philosophy,1188,FALL,LR628
DS171,Analytics using Ethics,5,Data Science,1179,SUMMER,CR705
PHIL172,Applied Networks,4,Philosophy,1068,SPRING,CR504
CHEM173,Advanced Microeconomics,3,Chemistry,1161,SPRING,LR129
CYB174,Principles of Microeconomics,5,Cyber Security,1225,SPRING,CR043
SOC175,Introduction to Data Mining,3,Sociology,1148,WINTER,LR090
ECE176,Modern Macroeconomics,3,Electronics,1074,SUMMER,ACH279
CHEM177,Concepts of Algorithms,5,Chemistry,1004,FALL,CR121
BIO178,Applied Thermodynamics,5,Biology,1185,WINTER,LR900
BIO179,Data Structures in Organic Chemistry,3,Biology,1286,SPRING,CR603
ENG180,Applied Cyber Security,2,English,1129,FALL,CR584
CE181,Machine Learning with Linear Algebra,5,Civil Engineering,1285,FALL,CR919
DS182,Introduction to Microeconomics,3,Data Science,1042,SUMMER,CR249
PHIL183,Analytics using Artificial Intelligence,3,Philosophy,1150,WINTER,CR897
DS184,Applied Statistics,2,Data Science,1125,WINTER,CR015
ENG185,Concepts of Cloud Computing,4,English,1159,WINTER,LR533
DS186,Advanced Cyber Security,4,Data Science,1145,FALL,LR775
HIST187,Analytics using Software Engineering,5,History,1179,SPRING,LR174
BIO188,Modern Data Mining,2,Biology,1149,FALL,CR842
ME189,Machine Learning with Statistics,3,Mechanical Engineering,1036,WINTER,CR441
CE190,Applied Operating Systems,3,Civil Engineering,1116,SUMMER,CR402
HIST191,Analytics using Algorithms,4,History,1051,SPRING,LR853
BIO192,Concepts of Psychology,3,Biology,1043,SPRING,ACH981
CHEM193,Modern Cloud Computing,3,Chemistry,1189,SPRING,CR981
CHEM194,Programming in Microeconomics,5,Chemistry,1287,SUMMER,CR990
DS195,Fundamentals of Artificial Intelligence,2,Data Science,1129,SUMMER,CR687
DS196,Theory of Organic Chemistry,3,Data Science,1220,WINTER,CR107
PHY197,Theory of Ethics,4,Physics,1100,WINTER,LR022
CYB198,Introduction to Networks,2,Cyber Security,1209,SPRING,CR248
CHEM199,Theory of Cyber Security,3,Chemistry,1298,SPRING,CR497
CE200,Applied Networks,3,Civil Engineering,1078,WINTER,LR561
CE201,Machine Learning with Psychology,4,Civil Engineering,1135,SUMMER,LR256
CHEM202,Modern Database Systems,3,Chemistry,1233,WINTER,CR053
CS203,Concepts of Software Engineering,5,Computer Science,1200,SPRING,CR020
PSY204,Data Structures in Software Engineering,2,Psychology,1268,SUMMER,LR153
CHEM205,Principles of IoT,3,Chemistry,1074,SPRING,CR946
STAT206,Theory of Microeconomics,2,Statistics,1071,SPRING,LR263
BIO207,Data Structures in Linear Algebra,3,Biology,1231,SPRING,LR569
STAT208,Applied Artificial Intelligence,2,Statistics,1283,SPRING,ACH781
PSY209,Applied Macroeconomics,3,Psychology,1108,WINTER,CR073
CS210,Fundamentals of Organic Chemistry,2,Computer Science,1190,FALL,CR647
STAT211,Theory of Operating Systems,5,Statistics,1294,FALL,LR264
PSY212,Modern IoT,3,Psychology,1184,SPRING,CR721
MATH213,Fundamentals of Artificial Intelligence,3,Mathematics,1046,SUMMER,ACH332
SOC214,Fundamentals of Operating Systems,3,Sociology,1156,FALL,ACH430
POLI215,Principles of IoT,5,Political Science,1216,SPRING,CR602
STAT216,Applied Quantum Physics,5,Statistics,1103,SUMMER,CR494
DS217,Theory of Database Systems,4,Data Science,1123,WINTER,LR694
BIO218,Programming in Linear Algebra,2,Biology,1255,FALL,CR204
HIST219,Analytics using Macroeconomics,3,History,1288,WINTER,CR336
BIO220,Modern Psychology,5,Biology,1075,SPRING,LR905
PHIL221,Advanced Quantum Physics,2,Philosophy,1273,SPRING,LR349
STAT222,Concepts of Database Systems,4,Statistics,1131,SPRING,ACH355
CYB223,Modern Quantum Physics,3,Cyber Security,1102,SUMMER,CR446
POLI224,Introduction to Networks,5,Political Science,1067,SUMMER,LR977
DS225,Advanced Networks,3,Data Science,1021,FALL,ACH166
CE226,Advanced Cyber Security,4,Civil Engineering,1012,FALL,LR284
